clone_id,productivity,stability,quality_potential,G_platform,platform_group,CN_true,CN_obs,k_decay_i,is_super,is_aggressive,hidden_titer_late,hidden_agg_late,hidden_titer_process,hidden_agg_process,aggressive_vcd_boost_i,aggressive_viab_bonus_i,aggressive_titer_mult_i,aggressive_late_decay_i,hidden_vcd_residual,nutrient_utilization_efficiency,stress_adaptation_capacity,perfusion_rescue_potential,temperature_shift_responsiveness,feed_responsiveness,secretion_burden_index,process_risk_sensitivity,glycan_maturity,galactosylation_level,sialylation_capacity,mannose_retention_risk,aggregation_propensity,product_quality_consistency
CLONE_0001,124.99744705157356,0.5386162350970434,0.744077304793254,0.43948850535221906,0,4,4,0.04656912029567031,0,0,0.19286363897710007,1.829148211458963,-0.09056259929503338,-0.10030033991206791,1.0,0.0,1.0,0.055,-0.002897506070541416,0.6304049106216122,0.5402386288438218,0.5536096747874353,0.7966836537939639,0.6733844329406632,0.6410113242100619,0.6655605637253633,0.5103804176163919,0.474859135524469,0.7124120201434575,0.3517079312043597,0.5174916982869285,0.9274886797262943
CLONE_0002,33.211918295206814,0.5896606693250699,0.6902789906458514,0.26691921077704406,0,2,2,0.041989371507941894,0,0,-0.05736675825425114,2.769755066746371,-0.28383893174673386,0.7144188071977808,1.0,0.0,1.0,0.055,-0.04646807629233921,0.7238794109430973,0.6293512219349576,0.4575797133996924,0.36370745424261125,0.7200594683967724,0.13523196861516412,0.5120329957431967,0.7260368953250744,0.8735433467622713,0.769228624722737,0.3844228732090726,0.4227441219657408,0.7768417362778642
CLONE_0003,202.19227205265233,0.5899138071334427,0.9311774398801791,0.5189854576620089,0,5,5,0.07012137043513333,0,0,-0.37206895731818906,1.6048589960017776,0.039623506332895395,1.168289849497274,1.0,0.0,1.0,0.055,-0.09697339982738007,0.29376669278784845,0.6455199799680998,0.3690040857899094,0.7975119621258886,0.5677761242535325,0.8359711526989637,0.5638848271241408,0.6777837979138699,0.6415718438718665,0.8353676448357734,0.24670339286868292,0.39963817675118696,0.5985556094159638
CLONE_0004,50.94383442942947,0.5949526515252426,0.9563428804909465,0.6381359799220708,0,4,4,0.04194692286969622,0,1,0.15195290779202278,-2.321564881131711,0.10990915018225716,1.363327316014467,1.1045378801054482,1.530801036031864,1.1198974743482617,0.05364810441671432,0.008896803298885559,0.6929580524506094,0.532735386855532,0.6611598923588716,0.2142995811827318,0.5736699245496955,0.4844137153420979,0.44908658663637613,0.7010040074144228,0.8856090523876213,0.9099926432281049,0.30575749989739387,0.26868875708729417,0.7518281894796767
CLONE_0005,126.14166385684881,0.6340754657696596,0.8977749191564381,0.805367196861107,0,6,6,0.05281729654807918,0,0,0.09666866615617122,-1.894381058613203,0.01125684887433033,0.8030592198524378,1.0,0.0,1.0,0.055,-0.08423038542812901,0.7019778305310527,0.7925356967141195,0.5090475912184537,0.45904661534584945,0.6116174815252938,0.7680440890570925,0.6417872254251857,0.879994320586804,0.6823062006712196,0.7061648610327981,0.11312114858782213,0.5441144344296631,0.883391284048577
CLONE_0006,353.43286375717463,0.5071087178818516,0.6048633059990876,0.3403005323211979,0,7,8,0.03464171214035699,0,0,-0.17721914475186445,0.6950621522190743,-0.013117666488628875,-0.9320534156267559,1.0,0.0,1.0,0.055,0.13831092447441093,0.5032656544089907,0.5281525983062072,0.5710826978392323,0.46126710084031036,0.6520732147402756,0.9223820594006638,0.7321703337168403,0.7408665561312388,0.514811547771653,0.6780253566136005,0.6269642854531599,0.5200308587274005,0.6230108064901535
CLONE_0007,41.01795084089511,0.6460761268656623,0.8383387710780489,0.6323429854541454,0,7,7,0.063093349790959,0,0,-0.2609033252200818,2.255506749902357,0.26760349855648635,-2.6358253470350927,1.0,0.0,1.0,0.055,-0.083409113751838,0.5376137452305312,0.6421662171835831,0.4291771330716483,0.7007914764261481,0.5121649844553179,0.6970127366839117,0.4851357728912777,0.7692362773767437,0.7366643198454914,0.7132221440990942,0.37374412590283057,0.5569291736490584,0.5102623699362702
CLONE_0008,43.606763291137895,0.7384770321929192,0.7801287373793028,0.3954818337718768,0,2,2,0.0665144758727015,0,0,0.3070809904263036,0.8791650724186011,0.29177001434583494,0.2547592990525792,1.0,0.0,1.0,0.055,-0.06843515271984178,0.7808714852145966,0.6693404372092239,0.24672854649216014,0.6628468584239152,0.2661958516260821,0.21987184491700962,0.46298014169185736,0.8826184520921175,0.6210683947215025,0.9788097003919048,0.31198065428494637,0.6198918622296844,1.0
CLONE_0009,75.08970454533245,0.6018922170003669,0.7473581717759085,0.3369147185224253,0,4,4,0.03184817804089371,0,0,0.11135458182533091,-2.694241051379163,0.19287614297380454,1.9960136510316049,1.0,0.0,1.0,0.055,0.011234042714331139,0.5495221003518681,0.46605839284373096,0.41418073542602174,0.622974749596174,0.5743266743597689,0.6446450672891005,0.6529420591641477,0.7117109861497658,0.8158010446626467,0.3795707288314104,0.287138270712331,0.713764309589969,0.5500933926606681
CLONE_0010,44.90419086395904,0.8071686787174868,0.49784935559267496,0.3368554961638651,0,2,2,0.030156436357106853,0,0,-0.17401568212620985,-0.637865543422809,0.06025227835261224,2.128861728855433,1.0,0.0,1.0,0.055,-0.1306299487799316,0.6080388655228968,0.6784191676869906,0.35415800102600187,0.5706768232955743,0.31018003750390305,0.5239934070350379,0.5243168760387362,1.0,0.8319957856972071,0.5376669533611874,0.3628858436956515,0.4260569087442818,0.8168996018575876
CLONE_0011,29.809894650018123,0.4836797311265973,0.8568716812139844,0.5210978242036506,0,13,13,0.05531325661876682,0,0,0.14575981860353368,-3.6063905965617566,0.017469970264102685,0.5100939300792916,1.0,0.0,1.0,0.055,-0.03712678245654676,0.5614937561881712,0.6485575301856754,0.381586008652392,0.4809008348898771,0.5113764133838283,0.31513393563897213,0.5043447202928868,0.8751597304986933,0.6253844049001837,0.5990140365141696,0.37106554965832467,0.8417982043100316,0.8842846629691588
CLONE_0012,73.97061618878361,0.7125093984671123,0.7313787502785047,0.3639001168612235,0,4,4,0.09862350806082176,0,0,-0.09244821984002137,1.5286291362242224,-0.18963524563451156,-0.7294195098510196,1.0,0.0,1.0,0.055,-0.15033046832834185,0.5841981709344938,0.41789480697024367,0.6221872502285262,0.5306220384869285,0.4925775789840221,0.7771446471516998,0.7983891688999036,0.6910095947776286,0.20828162447567283,0.6047132798487707,0.42607942612413385,0.44205159260365706,0.5536779983990251
CLONE_0013,36.02246006841429,0.5701226745955238,0.6935322363969598,0.409965629939057,0,6,7,0.06812967542811806,0,0,0.11984876519124671,5.146557884685162,-0.3430589203917185,1.4762587510627796,1.0,0.0,1.0,0.055,-0.005961212837249397,0.5438383245392822,0.7131058416456953,0.6198372195540641,0.4765350570102282,0.5420236401074805,0.36194829904697556,0.4355466367836439,0.8293784681548293,0.9076867180598769,0.7067959304799607,0.0,0.5506280433722524,0.3990509347735424
CLONE_0014,99.96237887909984,0.582047288501337,0.6357472362379922,0.4343215132445356,0,4,4,0.0464188592135931,0,0,0.06909735103946917,1.3697682560768965,0.24675226438748687,-1.7569515100543154,1.0,0.0,1.0,0.055,-0.08281707378148823,0.6127194835353271,0.7962710594953731,0.5438952286493219,0.5493084092818049,0.631318471649535,0.5993275168945635,0.619817413870142,0.8387220903141409,0.8030534672104712,0.46086711892135684,0.19127280520264855,0.3687912985641124,0.44554198981124615
CLONE_0015,31.622463642193384,0.7369991870777806,0.6368505663837465,0.39079285702767247,0,1,1,0.03707776854753168,0,0,-0.5641803855976285,-5.084277992009373,0.020530132441457863,-0.986936371594913,1.0,0.0,1.0,0.055,-0.0494657102950216,0.5969603458659903,0.6274950881471603,0.3265901513341387,0.612529375929423,0.42956135669150747,0.1942636983387602,0.4242981250263873,0.8229061422359445,0.7398132127286885,0.670882783088826,0.35920333379379943,0.3214274812528054,0.3555009142598901
CLONE_0016,191.10480140462897,0.7174638953247182,0.7857149039737391,0.38047072219077466,0,2,2,0.03266749215041296,0,0,0.023822856649306605,0.2731526059344658,0.6105138198995713,-2.290367382639191,1.0,0.0,1.0,0.055,0.013900126001976564,0.5398523963552463,0.6520760411989124,0.5694600190115268,0.45395428268377985,0.5998163548211967,0.698574577295043,0.6573130139245803,0.862097989725542,0.7610182019543336,0.4730244150603835,0.13069829118683335,0.9803850528399691,0.6940060338240978
CLONE_0017,35.57650911901848,0.7287843397790992,0.447008682089456,0.18885062609928396,0,2,2,0.06426396350266479,0,0,-0.036641728006625435,-0.03792698394207499,-0.10508489825081381,1.5965566223028713,1.0,0.0,1.0,0.055,-0.040112276861506924,0.6504419992417871,0.48022907145787397,0.18258065749660266,0.33257846465916363,0.5633121449162586,0.29834859744970704,0.6230847685644841,0.408508880607251,0.7934329155576363,0.3193281102325056,0.26782599301786053,0.48453581835275245,0.7327207825329267
CLONE_0018,56.11201342294311,0.7029642288289512,0.8649290448770097,0.5130400358286596,0,3,3,0.06906126070237069,0,0,-0.16287121334526863,-1.3792834129390192,0.07685362016444305,-2.61807578784226,1.0,0.0,1.0,0.055,0.07336239556548325,0.6337367497824307,1.0,0.3855039407270622,0.5543372851179117,0.3038655226664362,0.5564214596591066,0.5139789912909872,0.5028312904915573,0.4958591867904911,0.6362296923555096,0.7488933012654415,0.221799596188665,0.7729603789036279
CLONE_0019,129.24349827980393,0.7273640509884813,0.5790290673224319,0.5101493291276575,0,4,4,0.04008961074629112,0,0,-0.27808491803908547,-5.316655021595619,0.1839596060763263,0.6533089073637961,1.0,0.0,1.0,0.055,-0.09891919455457729,0.4527653554096953,0.5416433240299281,0.6893164537072003,0.6454555713351595,0.47414111646447826,0.6714614775514971,0.5808552691060735,0.8495357837428781,0.5416733396485066,0.6507336013108933,0.46574068631940774,0.3078926097453821,0.6925998216545979
CLONE_0020,29.926695194031804,0.6844713850504243,0.40921463768774535,0.38262838077268724,0,4,4,0.045863433474101566,0,0,-0.04785352813052939,1.244257069479527,-0.1175104889629336,3.7214173474705046,1.0,0.0,1.0,0.055,-0.04725261860281536,0.4477705585363774,0.6351099976642931,0.5364145293779999,0.3398201102578966,0.19753174985963204,0.4364299354880428,0.58973690930936,0.5645619906269466,0.5104264222037301,0.5586692872003708,0.6003591013270442,0.645010613152792,0.6314304515559657
CLONE_0021,73.51213139868506,0.8796636546965122,0.9803513121288159,0.553847995674758,0,1,1,0.05082852556047607,0,0,-0.07760222348361163,2.463662438136709,-0.04853387024420508,0.6424057390517868,1.0,0.0,1.0,0.055,-0.032483765376729555,0.7047327383970537,0.8697250597829841,0.2880937131981446,0.4710619905068458,0.460542560364821,0.2987587289612979,0.3142132458287503,0.8619258982615167,0.5176813796312624,0.719672844711538,0.0,0.3000298661520362,0.9478690435797545
CLONE_0022,183.83736568621242,0.7447104799925556,0.6455463111226117,0.6980742864616274,0,3,3,0.09430359067196081,0,0,0.1433102292895689,-2.2983637088860447,-0.034984218373693574,-1.5504218294860177,1.0,0.0,1.0,0.055,0.08077739758817835,0.6574490568695318,0.7182709007407448,0.5638680151811036,0.6059259515459047,0.49102476068986306,0.7082068809211686,0.3831236317423952,0.8581926443436484,0.8974542627216926,0.7379467266887574,0.4871819609091258,0.5794377585123718,0.4587319658070784
CLONE_0023,38.907336882774906,0.6469931504074835,0.6482621716143231,0.503536915928678,0,2,1,0.056268607744221585,0,1,-0.03193531101638109,-2.3237043752880115,-0.07323848958486874,-0.6689775055082331,1.139826183807971,1.9128614053139055,1.0134145919607058,0.03,0.10555879421580726,0.5742836601937817,0.4041949584515655,0.5518819954628249,0.42211926432736363,0.4603463679089411,0.2190835572693361,0.717694055631597,0.7292977018554719,0.5028731127776346,0.5661701658268421,0.1341714542393173,0.384599565143424,0.7622595954721081
CLONE_0024,92.47167948189202,0.5584007596938618,0.9207812849331359,0.6895796082942486,0,6,6,0.03547009177590261,0,0,0.01948844770546002,-0.8253847503367098,0.07179941033557849,-2.4153006181601415,1.0,0.0,1.0,0.055,-0.09724753708456366,0.5747053139203689,0.7093144325807171,0.30637638840930226,0.6644203343722385,0.5562579261402181,0.6896736776300227,0.539540514086003,0.925280187271826,0.6241962425162914,0.31953761964554694,0.3571013943647443,0.32177837259863623,0.6036933435080254
CLONE_0025,94.14701357865782,0.6187476904671194,0.9795669362416187,0.7929630182598842,0,4,4,0.0333546835585699,0,0,0.07197634264027913,4.531134740853785,0.009871018983876698,-1.4319000203484218,1.0,0.0,1.0,0.055,-0.04035137879503582,0.7999970575426777,0.8668329716526413,0.39839261516763913,0.5310058725138495,0.5762216310537168,0.5709257360871295,0.4621822744825644,0.8399894783454221,1.0,0.5910583390022117,0.18300442041378123,0.5777599131710742,0.968770700991892
CLONE_0026,131.2208188012504,0.5439263909524706,0.5626415179028194,0.8202901942541967,0,3,3,0.03634637629746599,0,0,-0.10206074213575597,-0.7369372560923643,-0.36658035895445995,-1.1434244517308252,1.0,0.0,1.0,0.055,-0.19342326320357775,0.7438408021911322,0.6091409468226666,0.5339136987861008,0.7017930740017093,0.49022886060424603,0.7996263999495555,0.7358045159130624,0.5875050045805414,0.9287276422369137,0.616311275816346,0.4025474389555101,0.8268302546856257,0.7179584999133267
CLONE_0027,28.244670348985057,0.600177749569318,0.5754653918340232,0.3289491687761281,0,3,2,0.07782250904486347,0,0,-0.21919822012630918,-1.9910777961940138,0.019843401224386305,-1.333281118133341,1.0,0.0,1.0,0.055,-8.795379907915518e-05,0.7449598352601402,0.6024240174732374,0.48434581980040387,0.5341171346562266,0.3717673536839742,0.2557430126310451,0.42438690356120234,0.49319159880982727,0.6239290888412627,0.6103596868234631,0.0,0.3008345130205238,0.671948494314119
CLONE_0028,23.520103734288337,0.3698668535725336,0.6143174915437207,0.3296346806013861,0,1,1,0.059836877118033295,0,0,0.48695612467528016,-1.038477189764336,0.06729320069235878,0.21917614619644443,1.0,0.0,1.0,0.055,0.004522499810460329,0.7315028526309871,0.7309934901652511,0.27122901391976295,0.222242101197209,0.4781081406394826,0.0,0.27115416741684684,0.6410169751558076,0.5715677603023983,0.25943895801093864,0.36213016129370323,0.20554027810886336,0.7651434250404443
CLONE_0029,103.38809849894743,0.27075918596533327,0.865901893140245,0.43372773488840544,0,4,4,0.04430511914784463,0,0,-0.017097039877866902,1.5052359455431898,-0.00731714829055515,-4.44926226711062,1.0,0.0,1.0,0.055,0.14165295532286037,0.5822056009391622,0.20354207331272145,0.7142582336581901,0.5600284858221346,0.34800304833392476,0.8579034914450494,0.722312415846899,0.8434967070673128,0.3905601530614589,0.7587061254711196,0.21260168356883496,0.7342668773908575,0.5723069445993942
CLONE_0030,86.68203717805835,0.4511682671095687,0.9474428790024706,0.5192976896484413,0,3,3,0.0179603972775257,0,0,-0.04619959934484812,-5.260080396190806,0.29643803836228116,-1.9882005313429278,1.0,0.0,1.0,0.055,-0.01747077424509436,0.585910659554296,0.41891756172504724,0.48815383872201146,0.6291876636052207,0.4597876602872066,0.5829703253148519,0.5992248212241117,0.7808396294563467,0.40864151817743677,0.7687349663811809,0.0,0.3861695676363969,0.7696255596412174
CLONE_0031,83.80344104323132,0.8585992649015626,0.6272449414231714,0.7215154480440512,0,2,2,0.03709943561687188,0,0,0.3109638443237339,-0.6027448034584659,0.06263190589015691,0.9181492834897634,1.0,0.0,1.0,0.055,-0.012137533387534696,0.9398389585544888,0.6926118869665358,0.20659977823349518,0.26679816756948216,0.823570040738792,0.3825981271481206,0.30519983422812946,0.813801648222619,0.7929611790413333,0.5364526954963201,0.3209752875976279,0.6678252286876514,0.745378495305425
